wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
1320, 210.0,  5.5, 4.4,  10,  18,    25,  46,   10,     25, 18.43981841172534 ,        66.57178789389776,   128.8340383838078 ,          0.3161561365766673, 28.47388251635723 ,      25.61899165329825  ,   129.0945188881773 ,          0.1141775173385559,  92.62111320111124
1330, 210.8,  5.5, 4.4,  10,  18,    25,  46,   10,     25, 18.31017405708065 ,        67.19842851664592,   128.39400686025738,          0.6582877526141501, 28.46665410047498 ,      25.64396400004243  ,   128.85556335861844,          0.299450050091801 ,  93.8001303193943
1340, 211.7,  5.6, 4.4,  10,  18,    25,  46,   10,     25, 18.18242059614416 ,        67.81881812352017,   127.95882259766636,          0.9978019427572884, 28.459429353690904,      25.668929195448147 ,   128.61982646938782,          0.4825635024236785,  94.96811276414928
1350, 212.5,  5.6, 4.5,  10,  18,    25,  46,   10,     25, 18.050024001153453,        68.46480264336459,   127.2228170265187 ,          1.5746276599589155, 28.473882516357232,      25.618991653298234 ,   129.0945188881773 ,          0.1141775173385559,  95.77259947396033
1360, 213.3,  5.7, 4.5,  10,  18,    25,  46,   10,     25, 17.92597373858565 ,        69.07289822819635,   126.79808257021   ,          1.909011593229613 , 28.46681469206688 ,      25.643409136708605 ,   128.8608382676938 ,          0.2953564826054886,  96.92067544074004
1370, 214.2,  5.7, 4.5,  10,  18,    25,  46,   10,     25, 17.803692897666725,        69.67502224071964,   126.37792397548002,          2.2408863753474138, 28.45975037567492 ,      25.667819783020985 ,   128.63023623111718,          0.4744704415053959,  98.05819884059343
1380, 215.0,  5.8, 3.7,  10,  18,    25,  44,   10,     25, 17.794045276840002,        69.72264287839423,   128.81813668824526,          0.3284996413582358, 29.7299190834546  ,      21.36204751746901  ,   128.52355036734428,          0.5574442602060946,  91.97063429742757
1390, 215.8,  5.8, 3.8,  10,  18,    25,  44,   10,     25, 17.655280773873415,        70.40944955053816,   127.97930618193296,          0.9817956660043672, 29.75261617207188 ,      21.28659994289481  ,   129.07091316345347,          0.1324647958565374,  92.81030995529387
1410, 217.5,  5.9, 3.8,  10,  18,    25,  44,   10,     25, 17.421306721391332,        71.57544515154652,   127.1540745713381 ,          1.6286719148509887, 29.73598322999105 ,      21.341884603160384 ,   128.667980408259  ,          0.4451317400221058,  94.99113340958
1420, 218.3,  5.9, 3.9,  10,  18,    25,  44,   10,     25, 17.28798890085914 ,        72.24433469512655,   126.35393089105222,          2.259870960292255 , 29.757951181669043,      21.26887325918357  ,   129.202305431374  ,          0.0307180833872277,  95.80379699798962
1430, 219.2,  6.0, 3.9,  10,  18,    25,  44,   10,     25, 17.175103952333703,        72.81328883523669,   125.95319239096123,          2.577483986454004 , 29.74984272299786 ,      21.29581642885816  ,   129.0030250448547 ,          0.1850761346545107,  96.87166538520336
1440, 220.0,  6.0, 3.9,  10,  18,    25,  44,   10,     25, 17.06375037906063 ,        73.3768593709303 ,   125.55656048110502,          2.892826012781392 , 29.741738681915216,      21.322751476556608 ,   128.8062708502523 ,          0.3377113501376989,  97.930148210406
1450, 220.8,  6.0, 3.1,  10,  18,    25,  42,   10,     25, 17.102085722336543,        73.18257809086937,   128.95110589600236,          0.2253306516362208, 31.107855503636884,      16.872995164839434 ,   128.80217881664456,          0.3408882815124094,  90.62179218885744
1460, 221.7,  6.1, 3.1,  10,  18,    25,  42,   10,     25, 16.992754609852472,        73.73739251465419,   128.55071926020383,          0.5363074192164516, 31.10448659121459 ,      16.883748397929505 ,   128.63564027664518,          0.4702693282785782,  91.62771766007872
1470, 222.5,  6.1, 3.1,  10,  18,    25,  42,   10,     25, 16.88487618844132 ,        74.28704837212605,   128.15435151811414,          0.8451156945084418, 31.101118408404925,      16.894500368232197 ,   128.47119860214133,          0.5981854263107637,  92.62484986117744
1480, 223.3,  6.2, 3.2,  10,  18,    25,  42,   10,     25, 16.760109533634118,        74.9255113573922 ,   127.19588373431816,          1.5957987454004303, 31.113331543061072,      16.855518467206107 ,   129.07738146615532,          0.1274534902571701,  93.5042820602559
1490, 224.2,  6.2, 3.2,  10,  18,    25,  42,   10,     25, 16.65516476821345 ,        75.46484667156452,   126.80907473310356,          1.900343725901087 , 31.11006674904119 ,      16.865937669246396 ,   128.91262882704473,          0.2551735558272176,  94.4863016225392
1510, 225.8,  6.3, 3.2,  10,  18,    25,  42,   10,     25, 16.449347448918168,        76.52875756263157,   126.04680812857232,          2.503197766365424 , 31.103539216064583,      16.886772517202758 ,   128.5891808475353 ,          0.5063927103919494,  96.4251205565917
1520, 226.7,  6.3, 3.3,  10,  18,    25,  42,   10,     25, 16.330598910485843,        77.146339481838  ,   125.1440831674666 ,          3.2218089775262264, 31.11531053961908 ,      16.84920322228043  ,   129.17823660330208,          0.0493486094866405,  97.2667002911313
1530, 227.5,  6.4, 3.3,  10,  18,    25,  42,   10,     25, 16.231070176569016,        77.66609286650731,   124.77368371767714,          3.5181420429843264, 31.11214426595509 ,      16.859307405119413 ,   129.01723393353603,          0.1740623659727893,  98.21760468058385
