wp  , wf    , P    , volume, n1 , Pd1, Np1, Helix1, Pd2, Np2, Helix2, s1_bending, s1_contact, s2_bending, s2_contact, s3_bending, s3_contact, _source_file
1950, 262.5 ,  8.12, 286.06, 3.1,   8,  14,     25,   8,  18,     20,       9.34,     109.44,      16.73,     128.52,           ,           , wp_1900-2000.csv
1960, 263.33,  8.17, 302.73, 3.1,   8,  12,     20,  10,  22,     15,       8.92,     114.73,      16.56,     122.87,           ,           , wp_1900-2000.csv
1970, 264.17,  8.21, 287.4 , 2.9,  10,  16,     20,   8,  16,     15,      12.79,     118.54,      14.02,     122.84,           ,           , wp_1900-2000.csv
1980, 265.0 ,  8.25, 266.26, 3.1,  10,  16,     25,   8,  18,     20,      14.57,     127.39,      16.73,     128.47,           ,           , wp_1900-2000.csv
1990, 265.83,  8.29, 276.7 , 2.9,  10,  16,     25,   6,  12,     20,      14.63,     128.67,      10.62,     126.5 ,           ,           , wp_1900-2000.csv
2000, 266.67,  8.33, 284.88, 3.1,   8,  12,     20,   8,  16,     15,       8.94,     114.84,      14.99,     128.07,           ,           , wp_2000-2100.csv
2010, 267.5 ,  8.38, 266.86, 3.0,  10,  16,     25,   6,  12,     20,      14.62,     128.09,      10.98,     129.21,           ,           , wp_2000-2100.csv
2020, 268.33,  8.42, 300.78, 2.8,  10,  18,     25,   8,  16,     15,      12.93,     114.16,      13.54,     120.12,           ,           , wp_2000-2100.csv
2030, 269.17,  8.46, 308.59, 3.4,  10,  16,     25,  10,  28,     20,      14.55,     125.92,      18.57,     119.01,           ,           , wp_2000-2100.csv
2040, 270.0 ,  8.5 , 310.82, 2.5,  10,  20,     25,   8,  16,     20,      10.58,     104.0 ,      15.39,     127.76,           ,           , wp_2000-2100.csv
2050, 270.83,  8.54, 286.71, 3.5,   8,  12,     25,   8,  20,     20,      11.01,     127.4 ,      14.66,     123.74,           ,           , wp_2000-2100.csv
2060, 271.67,  8.58, 297.6 , 3.6,  10,  16,     20,   8,  22,     25,      12.71,     115.23,      17.53,     129.09,           ,           , wp_2000-2100.csv
2100, 275.0 ,  8.75, 317.08, 3.6,  10,  16,     25,   8,  22,     20,      14.56,     125.19,      13.43,     113.67,           ,           , wp_2100-2200.csv
2110, 275.83,  8.79, 311.59, 3.7,   8,  12,     25,   8,  18,     15,      11.0 ,     126.64,      15.7 ,     125.82,           ,           , wp_2100-2200.csv
