wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
2360, 296.7,  9.8, 5.1,  10,  14,    25,  42,   10,     25, 13.907862972596412,        90.37740751241346,   127.42657175247976,         1.4146089138415954 , 31.11307545602079 ,      16.856335702369485 ,   129.06438537936356,        0.1375224390024877  , 108.78587456762702
2370, 297.5,  9.9, 5.1,  10,  14,    25,  42,   10,     25, 13.853356724107249,        90.68962375705428,   127.18421058558236,         1.6049758795860996 , 31.11102691144988 ,      16.862873321123416 ,   128.9608728778381 ,        0.2177567732136618  , 109.37522973097748
2380, 298.3,  9.9, 5.1,  10,  14,    25,  42,   10,     25, 13.799297038769208,        90.99994592607366,   126.94334999440036,         1.794521041620751  , 31.108978636621416,      16.86941047315159  ,   128.8581646363953 ,        0.2974313202360334  , 109.96130876108204
2390, 299.2, 10.0, 5.2,  10,  14,    25,  42,   10,     25, 13.734116759849458,        91.37498648721667,   126.46344698425803,         2.1732450743710743 , 31.11634580733661 ,      16.845899689903263 ,   129.23129743260864,        0.00828137180718933 , 110.4024126232982
2410, 300.8, 10.0, 5.2,  10,  14,    25,  42,   10,     25, 13.628270032980451,        91.98608144376126,   125.98999029493567,         2.5482775112214067 , 31.112326918073517,      16.858724501798473 ,   129.02646965765223,        0.16690410767791997 , 111.55998756445906
2420, 301.7, 10.1, 1.7,  10,  16,    25,  38,   10,     25, 12.389191351795397,        99.33520731902858,   129.13348542137268,         0.0839975808466008 , 34.16428635175685 ,       7.537579713474206 ,   123.61522261573089,        4.450556979200996   , 111.40734159255038
2430, 302.5, 10.1, 1.7,  10,  16,    25,  38,   10,     25, 12.341996553224373,        99.62244613878049,   128.89478754256052,         0.2690143165915253 , 34.163000199563534,       7.541339044555912 ,   123.57406173889694,        4.483843488517571   , 111.91664298844549
2440, 303.3, 10.2, 1.7,  10,  16,    25,  38,   10,     25, 12.295178458755515,        99.90793744624973,   128.65753047415276,         0.4532536563929902 , 34.1617141442038  ,       7.545098228779936 ,   123.53322744802865,        4.516876601877513   , 112.42316593330017
2450, 304.2, 10.2, 3.9,  10,  14,    25,  40,   10,     25, 13.570011940358365,        92.32352335836869,   129.0554852935042 ,         0.14441852291658824, 32.69160498573777 ,      11.933212573747841 ,   128.78959123228853,        0.3506615337686985  , 104.75181598880182
2460, 305.0, 10.2, 4  ,  10,  14,    25,  40,   10,     25, 13.507329345194748,        92.68746496415599,   128.424915153021  ,         0.6342178983233006 , 32.70535493469882 ,      11.891311022043762 ,   129.21577485066436,        0.020293565825816623, 105.23328745034887
2470, 305.8, 10.3, 4  ,  10,  14,    25,  40,   10,     25, 13.456580707681184,        92.9827812910383 ,   128.19076672285965,         0.8167051075297268 , 32.70275090150206 ,      11.899245272854648 ,   129.13377802979727,        0.08377098737966028 , 105.78250265880233
2480, 306.7, 10.3, 4  ,  10,  14,    25,  40,   10,     25, 13.406230959678076,        93.2763659211711 ,   127.95800933005864,         0.998437498727795  , 32.70014728294375 ,      11.90717885437503  ,   129.05240144370114,        0.14680810365157898 , 106.32879037792551
2490, 307.5, 10.4, 4  ,  10,  14,    25,  40,   10,     25, 13.356275364545336,        93.56823434628895,   127.72662913475715,         1.1794209046802882 , 32.6975440789249  ,      11.915111766689531 ,   128.97163804468423,        0.20940950862477462 , 106.87217652628354
2510, 309.2, 10.5, 4  ,  10,  14,    25,  40,   10,     25, 13.257528060063144,        94.14688362003665,   127.26794593685781,         1.5391637590755312 , 32.692338914109534,      11.93097558403975  ,   128.81192314944656,        0.33332324136328945 , 107.95034620451521
